,1400532655,B00000DM9W,B00000K135,B00000K4KH,B00001P4XA,B00001P4ZH,B00001W0DI,B00001WRSJ,B00003CWDH,B00004SABB,B00004SB92,B00004TDLD,B00004THCZ,B00004TWM6,B00004W3ZQ,B00004WCGF,B00004WCIC,B00004XOM3,B00004Z5D1,B00004Z5M1,B00004Z5PY,B00004ZCJE,B0000510ZO,B000051299,B000053HH5,B000056SSM,B00005A1K1,B00005ARK3,B00005ATMB,B00005AW1H
1400532655,1.0000002,0.17678833,0.28604323,0.2683888,0.14265114,0.23738803,0.18831864,0.25574493,0.33312646,0.21894512,0.27833328,0.47458982,0.14237201,0.33179206,0.3519383,0.2094906,0.22971433,0.17111243,0.22539622,0.25836825,0.18973176,0.17091346,0.23558605,0.3512764,0.11675557,0.36507845,0.20816174,0.30146807,0.3027622,0.39366835
B00000DM9W,0.17678833,1.0000002,0.36709255,0.29682156,0.31590232,0.29469067,0.31230104,0.2651214,0.27246124,0.3164897,0.4278028,0.33458138,0.37899673,0.38653392,0.43070355,0.19976859,0.29002908,0.32790282,0.30478463,0.24247456,0.26935583,0.2756977,0.28336614,0.3479684,0.45689967,0.3191519,0.26289633,0.3485372,0.29411596,0.3805014
B00000K135,0.28604323,0.36709255,1.0000002,0.45606223,0.28684828,0.4808118,0.4321946,0.30575395,0.6005059,0.42828983,0.5970923,0.29072976,0.29492778,0.31403112,0.36799473,0.44144872,0.44494823,0.49460304,0.39327052,0.41238087,0.40324926,0.26413774,0.42751655,0.49141175,0.28915608,0.5236146,0.268914,0.5364615,0.46419317,0.5096111
B00000K4KH,0.2683888,0.29682156,0.45606223,1.0,0.28102738,0.4519531,0.3105717,0.41557783,0.4822947,0.28828207,0.35400614,0.29811174,0.21405312,0.24464776,0.38192838,0.29498494,0.31721145,0.32355094,0.26006252,0.38729835,0.3151941,0.19525465,0.3382619,0.40018955,0.22371376,0.4260307,0.2447955,0.42978555,0.46345866,0.49140698
B00001P4XA,0.14265114,0.31590232,0.28684828,0.28102738,1.0000004,0.29402825,0.32562256,0.32264906,0.25434756,0.27735877,0.30416355,0.19803098,0.23727915,0.18736629,0.26524964,0.20250459,0.37036476,0.27472746,0.3266059,0.42437544,0.4214927,0.22755347,0.28317064,0.25268835,0.21692573,0.4105619,0.26813555,0.35101008,0.20396832,0.37596613
B00001P4ZH,0.23738803,0.29469067,0.4808118,0.4519531,0.29402825,1.0000002,0.61919713,0.57164526,0.4149713,0.3796293,0.41895625,0.23072252,0.27201816,0.27556247,0.31984085,0.45221698,0.2730853,0.41127568,0.48030317,0.40281433,0.4800021,0.34512085,0.48500437,0.45557845,0.24823755,0.46102142,0.38034132,0.47757718,0.43763614,0.5261176
B00001W0DI,0.18831864,0.31230104,0.4321946,0.3105717,0.32562256,0.61919713,0.99999976,0.62876,0.3642138,0.49579665,0.45101693,0.17935291,0.3561076,0.26734775,0.3311062,0.48941436,0.33391213,0.49643743,0.6948528,0.51309216,0.60921293,0.49788707,0.6233263,0.41176784,0.3096112,0.49947357,0.3768557,0.48452744,0.4166265,0.4954329
B00001WRSJ,0.25574493,0.2651214,0.30575395,0.41557783,0.32264906,0.57164526,0.62876,1.0000001,0.30527565,0.36716446,0.3928908,0.23973393,0.32128078,0.28495854,0.28349242,0.48461428,0.30575603,0.36503628,0.56330633,0.41448003,0.5620148,0.42503232,0.52118003,0.43769258,0.25766283,0.43065357,0.3764584,0.41218805,0.41183323,0.49756497
B00003CWDH,0.33312646,0.27246124,0.6005059,0.4822947,0.25434756,0.4149713,0.3642138,0.30527565,0.99999994,0.4251172,0.61786234,0.33309174,0.30418992,0.32873937,0.42971557,0.3246055,0.38834846,0.43921316,0.39342874,0.45929882,0.4433882,0.28003848,0.46530858,0.58839095,0.28517598,0.52632517,0.22704925,0.59702545,0.47014827,0.53356695
B00004SABB,0.21894512,0.3164897,0.42828983,0.28828207,0.27735877,0.3796293,0.49579665,0.36716446,0.4251172,1.0,0.52813345,0.19685918,0.3535691,0.29797155,0.41530204,0.44190162,0.40824968,0.5118218,0.43821663,0.3879736,0.4633984,0.36477,0.48235834,0.39131814,0.2859587,0.4397177,0.2905626,0.3201346,0.4627334,0.43086562
B00004SB92,0.27833328,0.4278028,0.5970923,0.35400614,0.30416355,0.41895625,0.45101693,0.3928908,0.61786234,0.52813345,0.9999999,0.2430985,0.4931226,0.37467912,0.41518286,0.47152847,0.4446981,0.6267158,0.51008415,0.4528343,0.51581466,0.33890522,0.444041,0.5447608,0.43375984,0.53608406,0.20970738,0.64810145,0.48855478,0.5726522
B00004TDLD,0.47458982,0.33458138,0.29072976,0.29811174,0.19803098,0.23072252,0.17935291,0.23973393,0.33309174,0.19685918,0.2430985,1.0,0.14249465,0.56501496,0.39964682,0.18674803,0.20515934,0.131444,0.23629077,0.23351201,0.18284456,0.19461086,0.2374559,0.41395223,0.13663322,0.3408224,0.30128998,0.24563947,0.2953372,0.35655057
B00004THCZ,0.14237201,0.37899673,0.29492778,0.21405312,0.23727915,0.27201816,0.3561076,0.32128078,0.30418992,0.3535691,0.4931226,0.14249465,1.0000001,0.24363135,0.30075842,0.41458923,0.22725178,0.52067095,0.30247027,0.2557107,0.50432897,0.25459754,0.33290327,0.41533273,0.8026198,0.2516662,0.21051253,0.35256794,0.28878495,0.29250264
B00004TWM6,0.33179206,0.38653392,0.31403112,0.24464776,0.18736629,0.27556247,0.26734775,0.28495854,0.32873937,0.29797155,0.37467912,0.56501496,0.24363135,1.0,0.3034001,0.27883285,0.27777022,0.24652171,0.29643744,0.1906921,0.20930685,0.23250851,0.28973633,0.4998305,0.2255031,0.31167412,0.22753003,0.2812642,0.34231013,0.30928707
B00004W3ZQ,0.3519383,0.43070355,0.36799473,0.38192838,0.26524964,0.31984085,0.3311062,0.28349242,0.42971557,0.41530204,0.41518286,0.39964682,0.30075842,0.3034001,0.9999997,0.22529453,0.26355374,0.3230908,0.35904735,0.47505033,0.3735994,0.34762204,0.3613191,0.37779695,0.2792905,0.4116239,0.2546025,0.35823733,0.327492,0.43380225
B00004WCGF,0.2094906,0.19976859,0.44144872,0.29498494,0.20250459,0.45221698,0.48941436,0.48461428,0.3246055,0.44190162,0.47152847,0.18674803,0.41458923,0.27883285,0.22529453,1.0,0.37627828,0.4770389,0.36762714,0.30922616,0.456455,0.28528506,0.44248033,0.4117923,0.31106973,0.3265919,0.2501706,0.35969138,0.5353212,0.3803156
B00004WCIC,0.22971433,0.29002908,0.44494823,0.31721145,0.37036476,0.2730853,0.33391213,0.30575603,0.38834846,0.40824968,0.4446981,0.20515934,0.22725178,0.27777022,0.26355374,0.37627828,1.0000001,0.3959276,0.30477244,0.28532904,0.32961124,0.3031577,0.36183575,0.34079796,0.20033993,0.4178788,0.16607282,0.35336652,0.3497552,0.38191086
B00004XOM3,0.17111243,0.32790282,0.49460304,0.32355094,0.27472746,0.41127568,0.49643743,0.36503628,0.43921316,0.5118218,0.6267158,0.131444,0.52067095,0.24652171,0.3230908,0.4770389,0.3959276,1.0,0.41655916,0.34498352,0.47279084,0.24816751,0.35452688,0.3514219,0.45604688,0.32301378,0.22230883,0.4714092,0.4831357,0.33422327
B00004Z5D1,0.22539622,0.30478463,0.39327052,0.26006252,0.3266059,0.48030317,0.6948528,0.56330633,0.39342874,0.43821663,0.51008415,0.23629077,0.30247027,0.29643744,0.35904735,0.36762714,0.30477244,0.41655916,1.0000001,0.5687479,0.6335825,0.5620738,0.5923365,0.44514146,0.2688408,0.47361952,0.3378049,0.45274878,0.37834507,0.45025015
B00004Z5M1,0.25836825,0.24247456,0.41238087,0.38729835,0.42437544,0.40281433,0.51309216,0.41448003,0.45929882,0.3879736,0.4528343,0.23351201,0.2557107,0.1906921,0.47505033,0.30922616,0.28532904,0.34498352,0.5687479,0.99999994,0.6724565,0.37999558,0.5262487,0.3948899,0.243161,0.59579676,0.23936006,0.52553123,0.31961,0.5660659
B00004Z5PY,0.18973176,0.26935583,0.40324926,0.3151941,0.4214927,0.4800021,0.60921293,0.5620148,0.4433882,0.4633984,0.51581466,0.18284456,0.50432897,0.20930685,0.3735994,0.456455,0.32961124,0.47279084,0.6335825,0.6724565,1.0,0.49590546,0.6167837,0.48398694,0.4116193,0.4869085,0.27502012,0.46490353,0.40085697,0.495403
B00004ZCJE,0.17091346,0.2756977,0.26413774,0.19525465,0.22755347,0.34512085,0.49788707,0.42503232,0.28003848,0.36477,0.33890522,0.19461086,0.25459754,0.23250851,0.34762204,0.28528506,0.3031577,0.24816751,0.5620738,0.37999558,0.49590546,1.0000002,0.6564964,0.4035319,0.19999385,0.36404133,0.26273477,0.25954837,0.25727642,0.35548568
B0000510ZO,0.23558605,0.28336614,0.42751655,0.3382619,0.28317064,0.48500437,0.6233263,0.52118003,0.46530858,0.48235834,0.444041,0.2374559,0.33290327,0.28973633,0.3613191,0.44248033,0.36183575,0.35452688,0.5923365,0.5262487,0.6167837,0.6564964,0.99999964,0.5393532,0.2928533,0.53134274,0.3227051,0.45862913,0.39376783,0.5251161
B000051299,0.3512764,0.3479684,0.49141175,0.40018955,0.25268835,0.45557845,0.41176784,0.43769258,0.58839095,0.39131814,0.5447608,0.41395223,0.41533273,0.4998305,0.37779695,0.4117923,0.34079796,0.3514219,0.44514146,0.3948899,0.48398694,0.4035319,0.5393532,0.9999998,0.37254676,0.47505048,0.29679626,0.50425124,0.45523885,0.5047815
B000053HH5,0.11675557,0.45689967,0.28915608,0.22371376,0.21692573,0.24823755,0.3096112,0.25766283,0.28517598,0.2859587,0.43375984,0.13663322,0.8026198,0.2255031,0.2792905,0.31106973,0.20033993,0.45604688,0.2688408,0.243161,0.4116193,0.19999385,0.2928533,0.37254676,1.0,0.25448292,0.2067436,0.35455924,0.23947348,0.28653035
B000056SSM,0.36507845,0.3191519,0.5236146,0.4260307,0.4105619,0.46102142,0.49947357,0.43065357,0.52632517,0.4397177,0.53608406,0.3408224,0.2516662,0.31167412,0.4116239,0.3265919,0.4178788,0.32301378,0.47361952,0.59579676,0.4869085,0.36404133,0.53134274,0.47505048,0.25448292,1.0,0.26103917,0.6100393,0.40128398,0.8826833
B00005A1K1,0.20816174,0.26289633,0.268914,0.2447955,0.26813555,0.38034132,0.3768557,0.3764584,0.22704925,0.2905626,0.20970738,0.30128998,0.21051253,0.22753003,0.2546025,0.2501706,0.16607282,0.22230883,0.3378049,0.23936006,0.27502012,0.26273477,0.3227051,0.29679626,0.2067436,0.26103917,0.9999998,0.23473498,0.23824455,0.28223026
B00005ARK3,0.30146807,0.3485372,0.5364615,0.42978555,0.35101008,0.47757718,0.48452744,0.41218805,0.59702545,0.3201346,0.64810145,0.24563947,0.35256794,0.2812642,0.35823733,0.35969138,0.35336652,0.4714092,0.45274878,0.52553123,0.46490353,0.25954837,0.45862913,0.50425124,0.35455924,0.6100393,0.23473498,1.0000001,0.36354643,0.6734117
B00005ATMB,0.3027622,0.29411596,0.46419317,0.46345866,0.20396832,0.43763614,0.4166265,0.41183323,0.47014827,0.4627334,0.48855478,0.2953372,0.28878495,0.34231013,0.327492,0.5353212,0.3497552,0.4831357,0.37834507,0.31961,0.40085697,0.25727642,0.39376783,0.45523885,0.23947348,0.40128398,0.23824455,0.36354643,1.0,0.46206248
B00005AW1H,0.39366835,0.3805014,0.5096111,0.49140698,0.37596613,0.5261176,0.4954329,0.49756497,0.53356695,0.43086562,0.5726522,0.35655057,0.29250264,0.30928707,0.43380225,0.3803156,0.38191086,0.33422327,0.45025015,0.5660659,0.495403,0.35548568,0.5251161,0.5047815,0.28653035,0.8826833,0.28223026,0.6734117,0.46206248,1.0000001
